feature,auc,cohens_d,p_raw,p_corrected_bh,significant_bh
log_n_user_turns,0.6593187641825582,0.5905470703940996,2.546537996383359e-135,3.055845595660031e-134,True
filler_rate,0.5993159204110649,0.17262622944442502,8.622764962509259e-17,1.4781882792873017e-16,True
fpp_rate,0.5752334128315812,0.27202949504598933,1.0714177533011663e-23,2.571402607922799e-23,True
question_to_statement_ratio,0.5706706080611826,0.21574720729893335,2.1879009648360087e-21,4.375801929672017e-21,True
type_token_ratio,0.5619522862166441,-0.2412322494221906,1.4857096606421171e-28,4.457128981926351e-28,True
hedging_rate,0.560794432477606,0.1939815373326727,8.699392854185176e-15,1.3049089281277764e-14,True
log_return_interval_hours,0.5449303650348778,-0.22146494851862472,1.2136622157763788e-30,4.8546488631055146e-30,True
refusal_resistance_rate,0.5400400961984079,0.3715167406109869,1.1269817236764417e-39,6.76189034205865e-39,True
self_disclosure_rate,0.510219961246616,0.05409763710476737,0.02114174431906863,0.02537009318288236,True
sentiment_slope,0.5067587855500301,-0.05195864431813089,0.05214807398348371,0.05688880798198223,False
gratitude_rate,0.4809418327673431,0.0942386814736753,5.4494721752582854e-05,7.26596290034438e-05,True
mean_message_length,0.4752420442098706,0.02979789826960288,0.29476359732477453,0.29476359732477453,False
